step	ms	note
attach	173	 rss=222MB
table authorization_codes	37	0 rows rss=222MB
table canonical_resources	27	0 rows rss=222MB
table composite_search_parameters	4469	1182265 rows rss=226MB
table date_search_parameters	1485	921632 rows rss=226MB
table export_jobs	36	0 rows rss=226MB
table general_storage	50	0 rows rss=226MB
table logs	49	0 rows rss=226MB
table number_search_parameters	25	0 rows rss=226MB
table oauth_clients	27	0 rows rss=226MB
table quantity_search_parameters	1818	737654 rows rss=226MB
table reference_search_parameters	6755	2925081 rows rss=226MB
table resources	10364	928935 rows rss=226MB
table resources_history	9978	928935 rows rss=226MB
table revoked_tokens	36	0 rows rss=226MB
table special_search_parameters	26	0 rows rss=226MB
table string_search_parameters	886	427916 rows rss=226MB
table sync_resources	35	0 rows rss=226MB
table token_search_parameters	6923	3655653 rows rss=226MB
table uri_search_parameters	2176	928935 rows rss=226MB
table users	63	0 rows rss=226MB
index idx_composite_search_parameters_contained	1239	 rss=226MB
index idx_composite_search_parameters_owner	2673	 rss=334MB
index idx_composite_search_parameters_values_cover	9901	 rss=365MB
index idx_date_search_parameters_contained	560	 rss=365MB
index idx_date_search_parameters_high_cover	5212	 rss=346MB
index idx_date_search_parameters_low_cover	5189	 rss=346MB
index idx_date_search_parameters_owner	1363	 rss=346MB
index idx_number_search_parameters_contained	19	 rss=346MB
index idx_number_search_parameters_high_cover	19	 rss=346MB
index idx_number_search_parameters_low_cover	19	 rss=346MB
index idx_number_search_parameters_owner	19	 rss=346MB
index idx_quantity_search_parameters_contained	592	 rss=346MB
index idx_quantity_search_parameters_high_cover	4897	 rss=346MB
index idx_quantity_search_parameters_low_cover	4905	 rss=346MB
index idx_quantity_search_parameters_owner	1316	 rss=346MB
index idx_reference_search_parameters_contained	2096	 rss=346MB
index idx_reference_search_parameters_identifier_cover	13444	 rss=484MB
index idx_reference_search_parameters_owner	5565	 rss=470MB
index idx_reference_search_parameters_target_cover	25072	 rss=579MB
index idx_reference_search_parameters_value_cover	23164	 rss=579MB
index idx_resources_history_type_updated	4705	 rss=579MB
index idx_resources_type_updated	4599	 rss=579MB
index idx_special_search_parameters_contained	17	 rss=579MB
index idx_special_search_parameters_owner	18	 rss=579MB
index idx_special_search_parameters_value_cover	18	 rss=579MB
index idx_string_search_parameters_contained	214	 rss=579MB
index idx_string_search_parameters_exact_cover	2430	 rss=579MB
index idx_string_search_parameters_owner	643	 rss=579MB
index idx_string_search_parameters_value_cover	2245	 rss=579MB
index idx_token_search_parameters_contained	2175	 rss=579MB
index idx_token_search_parameters_owner	5691	 rss=579MB
index idx_token_search_parameters_system_cover	22808	 rss=707MB
index idx_token_search_parameters_value_cover	25239	 rss=707MB
index idx_uri_search_parameters_contained	619	 rss=707MB
index idx_uri_search_parameters_owner	1623	 rss=707MB
index idx_uri_search_parameters_value_cover	4378	 rss=707MB
total	230274	12637006 rows, 6978076672 bytes rss=707MB
reopen with passphrase: resources	228	928935 rss=707MB
