label	resource_type	resources	expressions	parse_ms	gen_ms	gen_us_per_resource	fp_ms	fp_us_per_resource	rows_gen	rows_fp	only_gen	only_fp	fp_errors
mimic2000	Condition	442	25	81	210	475	114	259	3536	2210	1326	0	0
mimic2000	save:Condition	442	25	0	216	489	0	0	0	0	0	0	0
mimic2000	Encounter	23	23	81	5	242	9	422	378	309	69	0	0
mimic2000	save:Encounter	23	23	0	24	1069	0	0	0	0	0	0	0
mimic2000	EncounterICU	18	23	81	2	118	2	156	218	164	54	0	0
mimic2000	save:EncounterICU	18	23	0	7	411	0	0	0	0	0	0	0
mimic2000	Location	39	16	81	3	80	4	109	195	117	78	0	0
mimic2000	save:Location	39	16	0	13	348	0	0	0	0	0	0	0
mimic2000	Medication	2000	9	81	54	27	76	38	12749	6749	6000	0	0
mimic2000	save:Medication	2000	9	0	381	191	0	0	0	0	0	0	0
mimic2000	MedicationAdministration	2000	13	81	100	50	591	296	19984	13984	6000	0	0
mimic2000	save:MedicationAdministration	2000	13	0	545	273	0	0	0	0	0	0	0
mimic2000	MedicationAdministrationICU	2000	13	81	40	20	114	57	18000	12000	6000	0	0
mimic2000	save:MedicationAdministrationICU	2000	13	0	403	202	0	0	0	0	0	0	0
mimic2000	MedicationDispense	1590	15	81	49	31	102	64	14310	9540	4770	0	0
mimic2000	save:MedicationDispense	1590	15	0	339	214	0	0	0	0	0	0	0
mimic2000	MedicationRequest	1931	16	81	41	22	123	64	19310	13517	5793	0	0
mimic2000	save:MedicationRequest	1931	16	0	458	237	0	0	0	0	0	0	0
mimic2000	ObservationChartevents	2000	40	81	177	89	316	158	24766	18766	6000	0	0
mimic2000	save:ObservationChartevents	2000	40	0	556	278	0	0	0	0	0	0	0
mimic2000	ObservationDatetimeevents	2000	40	81	136	68	250	125	24000	18000	6000	0	0
mimic2000	save:ObservationDatetimeevents	2000	40	0	505	253	0	0	0	0	0	0	0
mimic2000	ObservationLabevents	2000	40	81	145	73	282	141	27572	21572	6000	0	0
mimic2000	save:ObservationLabevents	2000	40	0	615	308	0	0	0	0	0	0	0
mimic2000	ObservationMicroOrg	40	40	81	1	46	6	153	585	465	120	0	0
mimic2000	save:ObservationMicroOrg	40	40	0	11	281	0	0	0	0	0	0	0
mimic2000	ObservationMicroSusc	123	40	81	5	46	18	154	1599	1230	369	0	0
mimic2000	save:ObservationMicroSusc	123	40	0	36	294	0	0	0	0	0	0	0
mimic2000	ObservationMicroTest	205	40	81	9	46	32	159	2645	2030	615	0	0
mimic2000	save:ObservationMicroTest	205	40	0	64	316	0	0	0	0	0	0	0
mimic2000	ObservationOutputevents	1599	40	81	79	50	198	124	20787	15990	4797	0	0
mimic2000	save:ObservationOutputevents	1599	40	0	393	246	0	0	0	0	0	0	0
mimic2000	Organization	1	14	81	0	409	0	357	7	5	2	0	0
mimic2000	save:Organization	1	14	0	2	2958	0	0	0	0	0	0	0
mimic2000	Patient	10	23	81	2	226	6	672	155	125	30	0	0
mimic2000	save:Patient	10	23	0	5	584	0	0	0	0	0	0	0
mimic2000	Procedure	90	16	81	4	48	3	43	810	540	270	0	0
mimic2000	save:Procedure	90	16	0	24	275	0	0	0	0	0	0	0
mimic2000	ProcedureICU	235	16	81	3	16	10	45	2350	1645	705	0	0
mimic2000	save:ProcedureICU	235	16	0	58	250	0	0	0	0	0	0	0
mimic2000	Specimen	1513	12	81	11	8	57	38	10586	6047	4539	0	0
mimic2000	save:Specimen	1513	12	0	228	151	0	0	0	0	0	0	0
