label	resource_type	search_name	side	count	example_id	example_row
mimic2000	Condition	patient	gen	442	0197bc54-48ce-5d7b-b812-19b15556dafa	reference|patient|Patient/e1de99bc-3bc5-565e-9ee6-69675b9cc267
mimic2000	Condition	_profile	gen	442	0197bc54-48ce-5d7b-b812-19b15556dafa	uri|_profile|http://fhir.mimic.mit.edu/StructureDefinition/mimic-condition
mimic2000	Condition	_source	gen	442	0197bc54-48ce-5d7b-b812-19b15556dafa	uri|_source|#gpTyrfkHBv7zHOuv
mimic2000	Encounter	patient	gen	23	00d55770-bb49-5d07-b395-43967c41a0b6	reference|patient|Patient/e1de99bc-3bc5-565e-9ee6-69675b9cc267
mimic2000	Encounter	_profile	gen	23	00d55770-bb49-5d07-b395-43967c41a0b6	uri|_profile|http://fhir.mimic.mit.edu/StructureDefinition/mimic-encounter
mimic2000	Encounter	_source	gen	23	00d55770-bb49-5d07-b395-43967c41a0b6	uri|_source|#SNTXyuXa4ulkfwJJ
mimic2000	EncounterICU	patient	gen	18	141dd932-fff6-53a8-95d7-482e5aca222f	reference|patient|Patient/88fcbf73-7d80-52ae-8f11-ee73c71df69b
mimic2000	EncounterICU	_profile	gen	18	141dd932-fff6-53a8-95d7-482e5aca222f	uri|_profile|http://fhir.mimic.mit.edu/StructureDefinition/mimic-encounter-icu
mimic2000	EncounterICU	_source	gen	18	141dd932-fff6-53a8-95d7-482e5aca222f	uri|_source|#gLxNWGtt52j4xflu
mimic2000	Location	_profile	gen	39	00e4b7f2-1d93-5521-9dd9-cba8fa9461af	uri|_profile|http://hl7.org/fhir/us/core/StructureDefinition/us-core-location
mimic2000	Location	_source	gen	39	00e4b7f2-1d93-5521-9dd9-cba8fa9461af	uri|_source|#gxZuT0ay6c2IDfEX
mimic2000	Medication	_text	gen	2000	00022ce1-db4e-5481-bec8-ea2540356f04	string|_text|trifluoperazine
mimic2000	Medication	_profile	gen	2000	00022ce1-db4e-5481-bec8-ea2540356f04	uri|_profile|http://fhir.mimic.mit.edu/StructureDefinition/mimic-medication
mimic2000	Medication	_source	gen	2000	00022ce1-db4e-5481-bec8-ea2540356f04	uri|_source|#fsNQnRyhyRjfe1Bo
mimic2000	MedicationAdministration	patient	gen	2000	004605fd-e6c8-5d53-816e-2896e42211d7	reference|patient|Patient/f5a99b42-365c-5f7e-bcab-4fa33b3cc88e
mimic2000	MedicationAdministration	_profile	gen	2000	004605fd-e6c8-5d53-816e-2896e42211d7	uri|_profile|http://fhir.mimic.mit.edu/StructureDefinition/mimic-medication-administration
mimic2000	MedicationAdministration	_source	gen	2000	004605fd-e6c8-5d53-816e-2896e42211d7	uri|_source|#sL2Tl9UEe6KgTEpZ
mimic2000	MedicationAdministrationICU	patient	gen	2000	0011030b-893c-58eb-ba21-a63d06ed1984	reference|patient|Patient/f5a99b42-365c-5f7e-bcab-4fa33b3cc88e
mimic2000	MedicationAdministrationICU	_profile	gen	2000	0011030b-893c-58eb-ba21-a63d06ed1984	uri|_profile|http://fhir.mimic.mit.edu/StructureDefinition/mimic-medication-administration-icu
mimic2000	MedicationAdministrationICU	_source	gen	2000	0011030b-893c-58eb-ba21-a63d06ed1984	uri|_source|#JEUQCMh3P9br3abk
mimic2000	MedicationDispense	patient	gen	1590	000ba7d4-d4b9-5ed2-9718-dfe11315d929	reference|patient|Patient/dd2bf984-33c3-5874-8f68-84113327877e
mimic2000	MedicationDispense	_profile	gen	1590	000ba7d4-d4b9-5ed2-9718-dfe11315d929	uri|_profile|http://fhir.mimic.mit.edu/StructureDefinition/mimic-medication-dispense
mimic2000	MedicationDispense	_source	gen	1590	000ba7d4-d4b9-5ed2-9718-dfe11315d929	uri|_source|#KOwol7Wmv4K45BOS
mimic2000	MedicationRequest	patient	gen	1931	000ba7d4-d4b9-5ed2-9718-dfe11315d929	reference|patient|Patient/dd2bf984-33c3-5874-8f68-84113327877e
mimic2000	MedicationRequest	_profile	gen	1931	000ba7d4-d4b9-5ed2-9718-dfe11315d929	uri|_profile|http://fhir.mimic.mit.edu/StructureDefinition/mimic-medication-request
mimic2000	MedicationRequest	_source	gen	1931	000ba7d4-d4b9-5ed2-9718-dfe11315d929	uri|_source|#KOwol7Wmv4K45BOS
mimic2000	ObservationChartevents	patient	gen	2000	00006a59-f582-5a06-a70e-a9af35f1788c	reference|patient|Patient/e1de99bc-3bc5-565e-9ee6-69675b9cc267
mimic2000	ObservationChartevents	_profile	gen	2000	00006a59-f582-5a06-a70e-a9af35f1788c	uri|_profile|http://fhir.mimic.mit.edu/StructureDefinition/mimic-observation-chartevents
mimic2000	ObservationChartevents	_source	gen	2000	00006a59-f582-5a06-a70e-a9af35f1788c	uri|_source|#4BsdpNAVGe3hHDKw
mimic2000	ObservationDatetimeevents	patient	gen	2000	001ae40e-bfda-50e2-a922-1ba086e45060	reference|patient|Patient/73fb53d8-f1fa-53cd-a25c-2314caccbb99
mimic2000	ObservationDatetimeevents	_profile	gen	2000	001ae40e-bfda-50e2-a922-1ba086e45060	uri|_profile|http://fhir.mimic.mit.edu/StructureDefinition/mimic-observation-datetimeevents
mimic2000	ObservationDatetimeevents	_source	gen	2000	001ae40e-bfda-50e2-a922-1ba086e45060	uri|_source|#D3ez76PDQ8Oo3gwe
mimic2000	ObservationLabevents	patient	gen	2000	00167cf1-a1ea-5220-bc67-de498f7ac436	reference|patient|Patient/dd2bf984-33c3-5874-8f68-84113327877e
mimic2000	ObservationLabevents	_profile	gen	2000	00167cf1-a1ea-5220-bc67-de498f7ac436	uri|_profile|http://fhir.mimic.mit.edu/StructureDefinition/mimic-observation-labevents
mimic2000	ObservationLabevents	_source	gen	2000	00167cf1-a1ea-5220-bc67-de498f7ac436	uri|_source|#Opl3EGhupiWD5j7w
mimic2000	ObservationMicroOrg	patient	gen	40	08ec0c5d-593e-5f1d-9f76-349f6814b53e	reference|patient|Patient/e1de99bc-3bc5-565e-9ee6-69675b9cc267
mimic2000	ObservationMicroOrg	_profile	gen	40	08ec0c5d-593e-5f1d-9f76-349f6814b53e	uri|_profile|http://fhir.mimic.mit.edu/StructureDefinition/mimic-observation-micro-org
mimic2000	ObservationMicroOrg	_source	gen	40	08ec0c5d-593e-5f1d-9f76-349f6814b53e	uri|_source|#3nneMzv3b8KNItoO
mimic2000	ObservationMicroSusc	patient	gen	123	04f508a1-435e-528f-ac9c-2a820df42a73	reference|patient|Patient/f5a99b42-365c-5f7e-bcab-4fa33b3cc88e
mimic2000	ObservationMicroSusc	_profile	gen	123	04f508a1-435e-528f-ac9c-2a820df42a73	uri|_profile|http://fhir.mimic.mit.edu/StructureDefinition/mimic-observation-micro-susc
mimic2000	ObservationMicroSusc	_source	gen	123	04f508a1-435e-528f-ac9c-2a820df42a73	uri|_source|#Ri2HILPZUbTaaaJt
