phase	detail	resources	seconds	rate_per_s
load	MimicOrganization.ndjson	1	1.21	1
file	MimicOrganization.ndjson	1	1.29	1
load	MimicLocation.ndjson	31	0.09	356
file	MimicLocation.ndjson	31	0.10	316
load	MimicPatient.ndjson	100	0.28	353
file	MimicPatient.ndjson	100	0.33	301
load	MimicEncounterICU.ndjson	140	0.20	711
file	MimicEncounterICU.ndjson	140	0.23	611
load	MimicMedicationMix.ndjson	314	0.27	1176
file	MimicMedicationMix.ndjson	314	0.35	897
load	MimicEncounterED.ndjson	222	0.20	1138
file	MimicEncounterED.ndjson	222	0.21	1033
load	MimicObservationMicroOrg.ndjson	338	0.40	851
file	MimicObservationMicroOrg.ndjson	338	0.42	805
load	MimicConditionED.ndjson	500	0.27	1838
load	MimicConditionED.ndjson	45	0.05	938
file	MimicConditionED.ndjson	545	0.34	1584
load	MimicProcedure.ndjson	500	0.25	2033
load	MimicProcedure.ndjson	222	0.12	1914
file	MimicProcedure.ndjson	722	0.39	1837
load	MimicEncounter.ndjson	275	0.34	802
file	MimicEncounter.ndjson	275	0.38	726
load	MimicMedicationDispenseED.ndjson	500	0.27	1880
load	MimicMedicationDispenseED.ndjson	500	0.20	2513
load	MimicMedicationDispenseED.ndjson	82	0.06	1302
file	MimicMedicationDispenseED.ndjson	1082	0.57	1895
load	MimicProcedureED.ndjson	500	0.23	2165
load	MimicProcedureED.ndjson	500	0.21	2392
load	MimicProcedureED.ndjson	260	0.10	2574
file	MimicProcedureED.ndjson	1260	0.59	2118
load	MimicSpecimen.ndjson	500	0.33	1524
load	MimicSpecimen.ndjson	500	0.63	800
load	MimicSpecimen.ndjson	336	0.13	2565
file	MimicSpecimen.ndjson	1336	1.35	992
load	MimicMedication.ndjson	500	0.17	2924
load	MimicMedication.ndjson	500	0.17	2924
load	MimicMedication.ndjson	480	0.15	3265
file	MimicMedication.ndjson	1480	0.52	2868
load	MimicProcedureICU.ndjson	500	0.34	1479
load	MimicProcedureICU.ndjson	500	0.23	2203
