label	query	round	ms	hits	paged_in_sql
before	value-quantity=gt100	1	100	20	true
before	value-quantity=gt100	2	10	20	true
before	value-quantity=lt5	1	9	20	true
before	value-quantity=lt5	2	7	20	true
before	value-quantity=ge100	1	6	20	true
before	value-quantity=ge100	2	5	20	true
before	value-quantity=le5	1	8	20	true
before	value-quantity=le5	2	6	20	true
before	value-quantity=100	1	22	20	true
before	value-quantity=100	2	23	20	true
before	value-quantity=ap100	1	5	20	true
before	value-quantity=ap100	2	5	20	true
before	value-quantity=gt100&code=8867-4	1	70	20	true
before	value-quantity=gt100&code=8867-4	2	69	20	true
before-sparse	value-quantity=gt100	1	85	20	true
before-sparse	value-quantity=gt100	2	8	20	true
before-sparse	value-quantity=lt5	1	8	20	true
before-sparse	value-quantity=lt5	2	6	20	true
before-sparse	value-quantity=ge100	1	6	20	true
before-sparse	value-quantity=ge100	2	5	20	true
before-sparse	value-quantity=le5	1	5	20	true
before-sparse	value-quantity=le5	2	6	20	true
before-sparse	value-quantity=100	1	22	20	true
before-sparse	value-quantity=100	2	22	20	true
before-sparse	value-quantity=ap100	1	5	20	true
before-sparse	value-quantity=ap100	2	4	20	true
before-sparse	value-quantity=gt100&code=8867-4	1	66	20	true
before-sparse	value-quantity=gt100&code=8867-4	2	60	20	true
before-sparse	value-quantity=gt99999	1	134	6	true
before-sparse	value-quantity=gt99999	2	138	6	true
before-sparse	value-quantity=lt0.0001	1	4	20	true
before-sparse	value-quantity=lt0.0001	2	3	20	true
before-sparse	value-quantity=sa99999	1	1	6	true
before-sparse	value-quantity=sa99999	2	1	6	true
before-sparse	value-quantity=12345.678	1	0	0	true
before-sparse	value-quantity=12345.678	2	0	0	true
before-sparse	count value-quantity=gt100	1	139	56519	-
before-sparse	count value-quantity=gt100	2	131	56519	-
before-sparse	count value-quantity=gt99999	1	133	6	-
before-sparse	count value-quantity=gt99999	2	135	6	-
before-sparse	count value-quantity=le5	1	133	128584	-
before-sparse	count value-quantity=le5	2	137	128584	-
after	value-quantity=gt100	1	759	20	true
after	value-quantity=gt100	2	483	20	true
after	value-quantity=lt5	1	48	20	true
after	value-quantity=lt5	2	41	20	true
after	value-quantity=ge100	1	561	20	true
after	value-quantity=ge100	2	479	20	true
after	value-quantity=le5	1	32	20	true
after	value-quantity=le5	2	38	20	true
after	value-quantity=100	1	96	20	true
after	value-quantity=100	2	107	20	true
after	value-quantity=ap100	1	905	20	true
after	value-quantity=ap100	2	854	20	true
after	value-quantity=gt100&code=8867-4	1	155	20	true
after	value-quantity=gt100&code=8867-4	2	113	20	true
after	value-quantity=gt99999	1	2	6	true
after	value-quantity=gt99999	2	2	6	true
after	value-quantity=lt0.0001	1	247	20	true
after	value-quantity=lt0.0001	2	198	20	true
after	value-quantity=sa99999	1	6	6	true
after	value-quantity=sa99999	2	4	6	true
after	value-quantity=12345.678	1	1	0	true
after	value-quantity=12345.678	2	0	0	true
after	count value-quantity=gt100	1	90	56519	-
after	count value-quantity=gt100	2	56	56519	-
after	count value-quantity=gt99999	1	0	6	-
after	count value-quantity=gt99999	2	0	6	-
after	count value-quantity=le5	1	277	128584	-
after	count value-quantity=le5	2	276	128584	-
after2	value-quantity=gt100	1	245	20	true
after2	value-quantity=gt100	2	53	20	true
after2	value-quantity=lt5	1	47	20	true
after2	value-quantity=lt5	2	39	20	true
after2	value-quantity=ge100	1	40	20	true
after2	value-quantity=ge100	2	28	20	true
after2	value-quantity=le5	1	25	20	true
after2	value-quantity=le5	2	20	20	true
after2	value-quantity=100	1	37	20	true
after2	value-quantity=100	2	47	20	true
after2	value-quantity=ap100	1	44	20	true
after2	value-quantity=ap100	2	49	20	true
after2	value-quantity=gt100&code=8867-4	1	209	20	true
after2	value-quantity=gt100&code=8867-4	2	204	20	true
after2	value-quantity=gt99999	1	9	6	true
after2	value-quantity=gt99999	2	2	6	true
after2	value-quantity=lt0.0001	1	17	20	true
after2	value-quantity=lt0.0001	2	18	20	true
after2	value-quantity=sa99999	1	7	6	true
after2	value-quantity=sa99999	2	12	6	true
after2	value-quantity=12345.678	1	3	0	true
after2	value-quantity=12345.678	2	2	0	true
after2	date=ge2150	1	32	20	true
after2	date=ge2150	2	16	20	true
after2	date=2137	1	26	20	true
after2	date=2137	2	24	20	true
after2	_lastUpdated=ge2999	1	4	0	true
after2	_lastUpdated=ge2999	2	1	0	true
after2	_lastUpdated=ge2100	1	1	0	true
after2	_lastUpdated=ge2100	2	0	0	true
after2	count value-quantity=gt100	1	115	56519	-
after2	count value-quantity=gt100	2	114	56519	-
after2	count value-quantity=gt99999	1	0	6	-
after2	count value-quantity=gt99999	2	0	6	-
after2	count value-quantity=le5	1	280	128584	-
after2	count value-quantity=le5	2	283	128584	-
after2	count date=ge2150	1	312	313795	-
after2	count date=ge2150	2	311	313795	-
after3	value-quantity=gt100	1	251	20	true
after3	value-quantity=gt100	2	41	20	true
after3	value-quantity=lt5	1	34	20	true
after3	value-quantity=lt5	2	26	20	true
after3	value-quantity=ge100	1	44	20	true
after3	value-quantity=ge100	2	12	20	true
after3	value-quantity=le5	1	25	20	true
after3	value-quantity=le5	2	24	20	true
after3	value-quantity=100	1	36	20	true
after3	value-quantity=100	2	43	20	true
after3	value-quantity=ap100	1	33	20	true
after3	value-quantity=ap100	2	26	20	true
after3	value-quantity=gt100&code=8867-4	1	193	20	true
after3	value-quantity=gt100&code=8867-4	2	163	20	true
after3	value-quantity=gt99999	1	8	6	true
after3	value-quantity=gt99999	2	4	6	true
after3	value-quantity=lt0.0001	1	18	20	true
after3	value-quantity=lt0.0001	2	15	20	true
after3	value-quantity=sa99999	1	8	6	true
after3	value-quantity=sa99999	2	5	6	true
after3	value-quantity=12345.678	1	3	0	true
after3	value-quantity=12345.678	2	1	0	true
after3	date=ge2150	1	31	20	true
after3	date=ge2150	2	16	20	true
after3	date=2137	1	26	20	true
after3	date=2137	2	21	20	true
after3	_lastUpdated=ge2999	1	3	0	true
after3	_lastUpdated=ge2999	2	1	0	true
after3	_lastUpdated=ge2100	1	1	0	true
after3	_lastUpdated=ge2100	2	1	0	true
after3	count value-quantity=gt100	1	125	56519	-
after3	count value-quantity=gt100	2	72	56519	-
after3	count value-quantity=gt99999	1	0	6	-
after3	count value-quantity=gt99999	2	0	6	-
