call	files	sites
FhirantLogging	30	175
logError	29	71
jsonEncode	27	129
jsonDecode	22	40
toString	20	62
logInfo	19	70
request.readAsString	17	26
toList	16	55
where	14	36
fhir.R4ResourceType.fromString	14	31
add	12	16
fhir.OperationOutcomeIssue	11	35
fhir.OperationOutcome	11	34
map	11	29
dbInterface.getResource	11	28
Principal.of	9	15
fhir.Resource.fromJson	9	14
_errorResponse	8	93
split	8	14
toJson	8	11
SmartScopeEnforcer.defaultScopesForRole	8	10
fhir.FhirUri	7	29
dbInterface.search	7	19
sort	7	14
patientContextFor	7	14
File	7	13
Function	7	13
isInPatientCompartment	7	10
RegExp	7	8
logWarning	6	31
forbidden	6	16
fhir.Bundle	6	16
fhir.BundleEntry	6	12
compartmentFor	6	11
operationOutcome.toJsonString	6	11
join	6	9
notFoundOutcome	6	9
SubscriptionService	6	8
fhir.FhirString	5	51
_validationErrorResponse	5	46
toJsonString	5	14
utf8.encode	5	13
innerHandler	5	12
s.trim	5	12
from	5	11
toUtc	5	10
generate	5	7
utf8.decode	5	6
toIso8601String	5	5
_outcome	4	22
toSet	4	9
bundle.toJsonString	4	9
replaceAll	4	8
dbInterface.saveResource	4	8
patientScopeForbiddenResponse	4	8
unawaited	4	7
request.change	4	7
dbInterface.getUserById	4	7
SearchParameterParser.parseQueryParameters	4	7
clamp	4	7
CredentialInvalid	4	6
CredentialLocked	4	6
key.startsWith	4	6
PasswordHasher.generateSalt	4	5
PasswordHasher.hashPassword	4	5
file.existsSync	4	5
CredentialOk	4	5
CredentialInactive	4	5
CompartmentScope	4	5
storeRefusal	4	5
trim	4	5
jwtService.generateToken	4	5
jwtService.generateRefreshToken	4	5
file.openRead	4	5
isNewResourceInPatientCompartment	4	5
patientScopeNotFoundResponse	4	5
base64Url.encode	4	5
checkCredentials	4	4
e.toString	4	4
Random.secure	4	4
_operationOutcome	3	47
fhir.BundleLink	3	17
fhir.FhirUnsignedInt	3	12
Uint8List.fromList	3	12
SmartScope.parse	3	8
_baseUrl	3	8
FhirHttpHeaders.resourceHeaders	3	8
outcomeResponse	3	7
patientCompartment	3	7
pageArgumentError	3	7
url	3	7
startsWith	3	7
Uint8List	3	7
delete	3	6
FhirHttpHeaders.parseETag	3	6
pageSize	3	6
TokenHasher.hash	3	6
db.saveResource	3	6
dbInterface.searchCount	3	5
fhir.Resource.fromJsonString	3	5
db.search	3	5
subs.onResourceChanged	3	5
init	3	5
PasswordPolicy.validate	3	4
toLowerCase	3	4
entries.add	3	4
base64Decode	3	4
SearchLinks.decide	3	4
contains	3	4
invalidSearchParameter	3	4
out.add	3	4
of	3	3
authorizeRequest	3	3
tokenPredatesAccount	3	3
dbInterface.getUserCount	3	3
isFhirId	3	3
applyJsonPatch	3	3
unreadable.join	3	3
outcome.toJsonString	3	3
principal.compartmentFor	3	3
principal.unauthorizedTypes	3	3
resource.toJson	3	3
DbResourceCache	3	3
remove	3	3
response.change	3	3
random.nextInt	3	3
post	2	41
fhir.ParametersParameter	2	30
bundleLinks.add	2	12
BackupDecryptionException	2	11
param.containsKey	2	10
validateCodeHandler	2	9
error	2	9
links.url	2	8
fhir.Parameters	2	8
path.split	2	8
unauthorized	2	7
links.self	2	7
parameters.add	2	7
_parseParametersResource	2	6
Directory	2	6
_extractExpiresAt	2	6
resource.toJsonString	2	6
fhir.FhirInteger	2	6
_randomBytes	2	6
Uint8List.sublistView	2	6
put	2	5
lookupHandler	2	5
expandHandler	2	5
translateHandler	2	5
subsumesHandler	2	5
dbInterface.bumpTokenGeneration	2	5
fhir.BundleSearch	2	5
evaluate	2	5
principal.may	2	4
exportKickoffHandler	2	4
inner	2	4
timeout	2	4
SmartScopeEnforcer.resourceScopesOf	2	4
FhirHttpHeaders.parsePreferHandling	2	4
fhir.BundleResponse	2	4
dbInterface.deleteResource	2	4
prefer.contains	2	4
SearchLinks.history	2	4
page	2	4
fhir.FhirMeta	2	4
dbInterface.revokeToken	2	4
searchParameterFor	2	4
_pending.add	2	4
GCMBlockCipher	2	4
AESEngine	2	4
AEADParameters	2	4
KeyParameter	2	4
cipher.process	2	4
hmac.convert	2	4
url.substring	2	4
parse	2	4
path.join	2	4
askHost	2	4
Principal	2	3
SmartScopeEnforcer.isAuthorized	2	3
scope.permissions.contains	2	3
AuditQueue	2	3
setActiveHandler	2	3
validateHandler	2	3
preferredIdHandler	2	3
fhirPathHandler	2	3
putResourceHandler	2	3
CorsConfig	2	3
cancel	2	3
change	2	3
dir.delete	2	3
file.lengthSync	2	3
resource.newId	2	3
resolveConditionalUpdate	2	3
typeSearch	2	3
dbInterface.getResourceTypes	2	3
t.toString	2	3
dbInterface.countHistory	2	3
subs.activate	2	3
FhirHttpHeaders.parsePreferReturn	2	3
FhirHttpHeaders.preferredResponse	2	3
dbInterface.isTokenRevoked	2	3
scopes.join	2	3
hasMatch	2	3
_run	2	3
authHeader.startsWith	2	3
authHeader.substring	2	3
fhir.Coding	2	3
db.getResourcesByType	2	3
trimmed.substring	2	3
base64Url.decode	2	3
Hmac	2	3
BytesBuilder	2	3
saveCanonicalResource	2	3
FilterComparison	2	3
FilterLogical	2	3
FilterNot	2	3
scopesError	2	2
username.trim	2	2
JwtSecret.generate	2	2
file.parent.createSync	2	2
file.writeAsStringSync	2	2
bootstrapTokenMatches	2	2
db.updatePassword	2	2
scopes.map	2	2
JwtService	2	2
WebSocketSubscriptions	2	2
authStatusHandler	2	2
registerHandler	2	2
loginHandler	2	2
refreshHandler	2	2
revokeHandler	2	2
logoutHandler	2	2
authorizeGetHandler	2	2
contentType.contains	2	2
authorizeJsonHandler	2	2
authorizePostHandler	2	2
changePasswordHandler	2	2
unlockAccountHandler	2	2
listUsersHandler	2	2
resetPasswordHandler	2	2
setRoleHandler	2	2
setScopesHandler	2	2
getSystemSearchHandler	2	2
baseHandler	2	2
healthHandler	2	2
metadataHandler	2	2
libraryEvaluateHandler	2	2
libraryEvaluateByUrlHandler	2	2
reindexKickoffHandler	2	2
reindexStatusHandler	2	2
backupHandler	2	2
restoreHandler	2	2
cqlHandler	2	2
immdsForecastHandler	2	2
immdsForecastWhoHandler	2	2
websocketHandler	2	2
mappingHandler	2	2
exportStatusHandler	2	2
exportDeleteHandler	2	2
exportFileHandler	2	2
documentHandler	2	2
everythingHandler	2	2
metaHandler	2	2
metaAddHandler	2	2
metaDeleteHandler	2	2
vreadResourceHandler	2	2
resourceHistoryHandler	2	2
typeHistoryHandler	2	2
systemHistoryHandler	2	2
compartmentSearchHandler	2	2
postSystemSearchHandler	2	2
bundleHandler	2	2
getResourcesHandler	2	2
postSearchHandler	2	2
postResourceHandler	2	2
getResourceByIdHandler	2	2
conditionalUpdateHandler	2	2
patchResourceHandler	2	2
deleteResourceHandler	2	2
conditionalDeleteHandler	2	2
corsMiddleware	2	2
bodyLimitMiddleware	2	2
contentNegotiationMiddleware	2	2
auditMiddleware	2	2
authMiddleware	2	2
sweepExpired	2	2
subtract	2	2
job	2	2
