call	files	sites
FhirantLogging	25	154
logError	25	63
jsonEncode	19	118
logInfo	17	64
jsonDecode	17	33
request.readAsString	17	26
dbInterface.getResource	11	28
fhir.R4ResourceType.fromString	11	27
where	10	23
toList	9	42
fhir.OperationOutcomeIssue	9	32
fhir.OperationOutcome	9	31
_errorResponse	8	93
toString	8	41
Principal.of	8	14
dbInterface.search	7	19
add	7	10
fhir.FhirUri	6	27
map	6	19
patientContextFor	6	13
fhir.Resource.fromJson	6	11
operationOutcome.toJsonString	6	11
isInPatientCompartment	6	9
_validationErrorResponse	5	46
logWarning	5	27
fhir.Bundle	5	15
sort	5	11
fhir.BundleEntry	5	11
SmartScopeEnforcer.defaultScopesForRole	5	7
toJson	5	7
_outcome	4	22
toJsonString	4	12
compartmentFor	4	9
bundle.toJsonString	4	9
dbInterface.saveResource	4	8
notFoundOutcome	4	7
from	4	7
SubscriptionService	4	6
forbidden	4	6
jwtService.generateToken	4	5
jwtService.generateRefreshToken	4	5
split	4	5
toIso8601String	4	4
fhir.FhirString	3	48
_operationOutcome	3	47
fhir.FhirUnsignedInt	3	12
_baseUrl	3	8
toSet	3	8
FhirHttpHeaders.resourceHeaders	3	8
patientScopeForbiddenResponse	3	7
dbInterface.getUserById	3	6
File	3	6
FhirHttpHeaders.parseETag	3	6
SearchParameterParser.parseQueryParameters	3	6
s.trim	3	5
fhir.Resource.fromJsonString	3	5
subs.onResourceChanged	3	5
isNewResourceInPatientCompartment	3	4
base64Decode	3	4
storeRefusal	3	4
patientScopeNotFoundResponse	3	4
checkCredentials	3	3
CredentialOk	3	3
CredentialInvalid	3	3
CredentialInactive	3	3
CredentialLocked	3	3
dbInterface.getUserCount	3	3
RegExp	3	3
e.toString	3	3
unreadable.join	3	3
outcome.toJsonString	3	3
principal.compartmentFor	3	3
join	3	3
principal.unauthorizedTypes	3	3
resource.toJson	3	3
fhir.ParametersParameter	2	30
fhir.BundleLink	2	15
bundleLinks.add	2	12
param.containsKey	2	10
error	2	9
links.url	2	8
fhir.Parameters	2	8
toUtc	2	7
links.self	2	7
parameters.add	2	7
replaceAll	2	6
_parseParametersResource	2	6
_extractExpiresAt	2	6
dbInterface.bumpTokenGeneration	2	5
patientCompartment	2	5
clamp	2	5
fhir.BundleSearch	2	5
SmartScopeEnforcer.resourceScopesOf	2	4
FhirHttpHeaders.parsePreferHandling	2	4
fhir.BundleResponse	2	4
dbInterface.deleteResource	2	4
pageArgumentError	2	4
pageSize	2	4
dbInterface.searchCount	2	4
url	2	4
TokenHasher.hash	2	4
dbInterface.revokeToken	2	4
PasswordPolicy.validate	2	3
dir.delete	2	3
delete	2	3
entries.add	2	3
resource.newId	2	3
resolveConditionalUpdate	2	3
typeSearch	2	3
CompartmentScope	2	3
SearchLinks.decide	2	3
toLowerCase	2	3
dbInterface.getResourceTypes	2	3
t.toString	2	3
dbInterface.countHistory	2	3
subs.activate	2	3
invalidSearchParameter	2	3
FhirHttpHeaders.parsePreferReturn	2	3
FhirHttpHeaders.preferredResponse	2	3
PasswordHasher.generateSalt	2	2
PasswordHasher.hashPassword	2	2
isAfter	2	2
Uuid	2	2
SmartScopeEnforcer.grantScopes	2	2
granted.join	2	2
file.openRead	2	2
compareTo	2	2
isFhirId	2	2
utf8.decode	2	2
applyJsonPatch	2	2
currentResource.toJson	2	2
dbInterface.compartmentMembers	2	2
dbInterface.getResources	2	2
fetched.sublist	2	2
resources.map	2	2
patientId.startsWith	2	2
runProgram	2	2
patient.toJson	2	2
contains	2	2
