time	http	seconds	uptime
13:32:49	200	0.045572	18
13:32:59	200	0.132559	29
13:33:09	200	0.119162	39
13:33:19	200	0.071099	49
13:33:29	200	0.119390	59
13:33:39	200	0.033815	69
13:33:50	200	0.069274	79
13:34:00	200	0.092988	89
13:34:10	200	0.174191	100
13:34:20	200	0.152383	110
13:34:30	200	0.113370	120
13:34:40	200	0.095518	130
13:34:50	200	0.096978	140
13:35:01	200	0.070311	150
13:35:11	200	0.185522	160
13:35:21	200	0.124342	171
13:35:31	200	0.169467	181
13:35:41	200	0.226839	191
13:35:52	200	0.080841	201
13:36:02	200	0.094590	211
13:36:12	200	0.101104	222
13:36:22	200	0.110445	232
13:36:32	200	0.089445	242
13:36:42	200	0.094146	252
13:36:52	200	0.110836	262
13:37:03	200	0.090218	272
13:37:13	200	0.109677	282
13:37:23	200	0.103843	292
13:37:33	200	0.152849	303
13:37:43	200	0.066380	313
13:37:53	200	0.048085	323
13:38:03	200	0.048668	333
13:38:13	200	0.119010	343
13:38:24	200	0.106608	353
13:38:34	200	0.097688	363
13:38:44	200	0.091506	373
13:38:54	200	0.137370	384
13:39:04	200	0.089832	394
13:39:14	200	0.130396	404
13:39:24	200	0.269273	414
13:39:35	200	0.104592	424
13:39:45	200	0.100046	435
13:39:55	200	0.091839	445
13:40:05	200	0.104869	455
13:40:15	200	0.086853	465
13:40:25	200	0.093154	475
13:40:36	200	0.101693	485
13:40:46	200	0.082842	495
13:40:56	200	0.098120	505
13:41:06	200	0.098857	516
13:41:16	200	0.095808	526
13:41:26	200	0.050070	536
13:41:36	200	0.067499	546
13:41:46	200	0.082562	556
13:41:57	200	0.115251	566
13:42:07	200	0.074840	576
13:42:17	200	0.115838	586
13:42:27	200	0.108761	597
13:42:37	200	0.095182	607
13:42:47	200	0.082348	617
