time	http	seconds	uptime
11:22:58	200	0.034182	24
11:23:08	200	0.049785	34
11:23:18	200	0.121999	44
11:23:28	200	0.072393	54
11:23:38	200	0.104879	64
11:23:48	200	0.144690	74
11:23:58	200	0.221575	85
11:24:09	200	0.075645	95
11:24:19	200	0.194258	105
11:24:29	200	0.080626	115
11:24:39	200	0.528828	126
11:24:50	200	0.207048	136
11:25:00	200	0.228078	146
11:25:10	200	0.161429	156
11:25:20	200	0.180361	167
11:25:31	200	0.149244	177
11:25:41	200	0.160033	187
11:25:51	200	0.086437	197
11:26:01	200	0.167549	207
11:26:11	200	0.165244	218
11:26:22	200	0.112187	228
11:26:32	200	0.109221	238
11:26:42	200	0.172378	248
11:26:52	200	0.065048	258
11:27:02	200	0.155199	268
11:27:12	200	0.173727	279
11:27:23	200	0.100490	289
11:27:33	200	0.122133	299
11:27:43	200	0.228834	309
11:27:53	200	0.140398	319
11:28:03	200	0.130841	330
11:28:14	200	0.236350	340
11:28:24	200	0.121717	350
11:28:34	200	0.102552	360
11:28:44	200	0.094885	370
11:28:54	000	0.740849	
11:29:05	200	0.233312	7
11:29:15	200	0.156266	17
11:29:25	200	0.126440	28
11:29:36	200	0.087340	38
11:29:46	200	0.179848	48
11:29:56	200	0.468898	58
11:30:06	200	0.189915	69
11:30:17	200	0.233140	79
11:30:27	200	0.095535	89
11:30:37	200	0.190366	99
11:30:47	200	0.121479	109
11:30:57	200	0.110031	120
11:31:08	200	0.676929	130
11:31:18	200	0.304889	141
11:31:29	200	0.143286	151
11:31:39	200	0.109145	161
11:31:49	200	0.072015	171
11:31:59	200	0.111048	181
11:32:09	200	0.112774	191
11:32:19	200	0.092979	202
11:32:29	200	0.102270	212
11:32:40	200	0.280254	222
11:32:50	200	0.143093	232
11:33:00	200	0.120516	242
11:33:10	200	0.509588	253
11:33:21	200	0.073064	263
11:33:31	200	0.266085	273
11:33:41	200	0.559284	284
11:33:52	200	0.167156	294
11:34:02	200	1.076234	305
11:34:13	200	0.365316	316
11:34:24	200	0.304621	326
11:34:34	200	0.415110	336
11:34:44	200	0.139149	346
11:34:54	200	0.299872	357
11:35:05	200	0.774291	368
11:35:16	200	0.288092	378
11:35:26	200	0.364815	388
11:35:36	200	0.300248	399
11:35:47	200	0.475284	409
11:35:57	200	0.135776	419
11:36:07	200	0.365938	430
11:36:18	200	0.879881	441
11:36:29	200	0.195131	451
11:36:39	200	0.487872	461
11:36:49	200	0.403057	472
11:37:00	200	0.476885	482
11:37:10	200	0.318761	493
11:37:21	200	0.674793	504
11:37:31	200	0.072924	514
11:37:42	200	0.411653	524
11:37:52	200	0.287844	534
