package	files	repeated_blocks	sites	top_copies	top_first_line
bumblebee/packages/mds_report/lib	10	0	0	0	
bumblebee/packages/measurement/lib	4	0	0	0	
bumblebee/packages/sync_sim/lib	5	6	20	5	deviceId: 'dev-a',
bumblebee/tool/dictation_harness/lib	1	0	0	0	
bw-amr-ig/export/lib	6	0	0	0	
bw-amr-ig/flutter/lib	23	22	144	11	"status": "draft",
cicada/cicada_flutter/lib	16	1	6	6	style: theme.textTheme.bodySmall?.copyWith(
cicada/cicada_generator/lib	17	1	3	3	agData.targetDisease!
cicada/cicada/lib	78	12	44	4	}
cql/lib	504	517	8970	249	super.annotation,
drosophila/examples/web_demo/lib	2	2	6	3	return Scaffold(
drosophila/packages/drosophila_core/lib	37	19	74	7	@override
drosophila/packages/drosophila_flutter/lib	13	0	0	0	
fhirant/packages/fhirant_db/lib	5	1	3	3	DateTime? since,
fhirant/packages/fhirant/lib	16	8	33	5	return Card(
fhirant/packages/fhirant_logging/lib	1	0	0	0	
fhirant/packages/fhirant_secure_storage/lib	1	0	0	0	
fhirant/packages/fhirant_server/lib	75	150	594	27	body: jsonEncode({
fhir_db/lib	30	29	135	9	FhirNode value,
fhir_fli_documentation/jaspr/lib	10	0	0	0	
fhir_node/lib	1	0	0	0	
fhirpath/lib	41	98	467	22	ExecutionContext execContext,
fhir_r4/packages/fhir_mapping_demo/lib	1	1	3	3	),
fhir_r4/packages/fhir_path_demo/lib	1	0	0	0	
fhir_r4/packages/fhir_r4_at_rest/lib	14	10	43	6	}
fhir_r4/packages/fhir_r4_auth/lib	27	18	63	6	super.message, {
fhir_r4/packages/fhir_r4_bulk/lib	8	2	6	3	super.types,
fhir_r4/packages/fhir_r4_cds_hooks/lib	40	1	6	6	encounterId: json['encounterId'] as String?,
fhir_r4/packages/fhir_r4_cql/lib	3	0	0	0	
fhir_r4/packages/fhir_r4_db/lib	4	0	0	0	
fhir_r4/packages/fhir_r4/lib	32	19	80	8	'useContext',
fhir_r4/packages/fhir_r4_mapping/lib	44	45	152	6	});
fhir_r4/packages/fhir_r4_path/lib	43	3	9	3	} else {
fhir_r4/packages/fhir_r4_validation/lib	15	17	78	8	String originalPath,
fhir_r5/packages/fhir_r5_at_rest/lib	14	10	43	6	}
fhir_r5/packages/fhir_r5_auth/lib	27	18	63	6	super.message, {
fhir_r5/packages/fhir_r5_bulk/lib	8	2	6	3	super.types,
fhir_r5/packages/fhir_r5_cds_hooks/lib	40	1	6	6	encounterId: json['encounterId'] as String?,
fhir_r5/packages/fhir_r5_cql/lib	3	0	0	0	
fhir_r5/packages/fhir_r5_db/lib	4	0	0	0	
fhir_r5/packages/fhir_r5/lib	33	34	177	31	'url',
fhir_r5/packages/fhir_r5_mapping/lib	45	54	188	7	});
fhir_r5/packages/fhir_r5_path/lib	43	3	9	3	} else {
fhir_r5/packages/fhir_r5_validation/lib	15	17	78	8	String originalPath,
fhir_r6/packages/fhir_r6_at_rest/lib	14	10	43	6	}
fhir_r6/packages/fhir_r6_auth/lib	27	18	63	6	super.message, {
fhir_r6/packages/fhir_r6_bulk/lib	8	2	6	3	super.types,
fhir_r6/packages/fhir_r6_cds_hooks/lib	40	1	6	6	encounterId: json['encounterId'] as String?,
fhir_r6/packages/fhir_r6_cql/lib	3	0	0	0	
fhir_r6/packages/fhir_r6_db/lib	4	0	0	0	
fhir_r6/packages/fhir_r6/lib	33	32	174	33	'url',
fhir_r6/packages/fhir_r6_mapping/lib	45	54	188	7	});
fhir_r6/packages/fhir_r6_path/lib	43	3	9	3	} else {
fhir_r6/packages/fhir_r6_validation/lib	15	17	78	8	String originalPath,
katydid/examples/basic_example/lib	1	1	3	3	QuestionnaireAnswerOption(
katydid/packages/katydid_builder/lib	8	0	0	0	
katydid/packages/katydid_core/lib	14	0	0	0	
katydid/packages/katydid_flutter/lib	28	20	101	18	@override
nps-report-generator/dart_poc/lib	20	15	57	5	'legend': {
nps-report-generator/venv/lib	0	0	0	0	
orbweaver/lib	51	96	303	5	const SizedBox(width: 10),
scarab/lib	37	13	46	5	import 'package:auto_route/auto_route.dart';
tremulator/lab/tool/lib	3	0	0	0	
ucum/lib	47	2	6	3	if (s1.length < s2.length) {
